WynnExcavation Site A,35,,,,,Excavator Vade,Desert,Wynn,Medium,Normal,0,15000,1 Yellow Crystal Shard
Wrath of the Mummy,36,,,,,Ormrod,Almuj,Wynn,Medium,Normal,128,16600,"Mummy's Rag
 The Mummy's Bandage"
Canyon Condor,38,,,,,Svin,Rymek,Wynn,Medium,Normal,640,21000,Access to the Mesa Elevators
Pirate's Trove,39,,,,,Damiral,Llevigar Port,Gavel,Medium,Normal,168,26000,
Tower of Ascension,40,,,,,Ankou,Tower of Ascension,Wynn,Long,Special,32768,925000 Max (see Tips),Champion Armour
Ice Nations,40,,,,,Adigard,Icy Islands,Wynn,Medium,Normal,256,25000,"1 Climbing Helmet
 Access to the Dujgon Blacksmith"
Heart of Llevigar,41,,,,,Zenam,Llevigar,Gavel,Long,Normal,224,24500,Generator Amulet
Star Thief,42,,,,,Agent,Llevigar Plains,Gavel,Medium,Normal,256,40000,
Clearing the Camps,42,,,,,Captain Kymer,Llevigar Plains,Gavel,Short,Normal,320,23000,
Underice,43,,,,,Fredris,Nesaak,Wynn,Medium,Normal,128,34000,Gernald's Amulet / Calamaro's Token
Fate of the Fallen,43,,,,,Telvu,Ice Barrows,Wynn,Long,Dungeon,0,20000,"1 Avalanche
 1 Ice Barrows Dungeon Key
 Access to the Ice Barrows Dungeon"
Blazing Retribution,44,,,,,Piere,Llevigar,Gavel,Medium,Normal,512,38000,Hide of Gregg'r
Bob's Lost Soul,45,,,,,Tarod,Nesaak,Wynn,Long,Normal,0,55000,"Bob's Battle Chestplate
 Access to Bob's Tomb
 Bob's Crushed Soul"
Wynn Excavation Site B,46,,,,,Excavator Lykron,Below path towards Haunted Mansion,Wynn,Medium,Normal,1536,50000,1 Purple Crystal Shard
Frost Bite,48,,,,,Eppo,Ice Canyon,Wynn,Long,Normal,640,61000,Glaciate
The House of Twain,49,,,,,Twendle,The House of Twain,Wynn,Short,Normal,4096,45000,
Rise of the Quartron,49,15,,,,Manager Nasea,Karoc Quarry,Gavel,Long,Normal,1408,75000,"1800 Mining Experience Points
 Quartron's Eye
 Acess to Karoc Mine Annex"
An Iron Heart Part I,49,,,,,Duvale,Llevigar Plains,Gavel,Medium,Normal,128,42000,Mechanical Reactor
A Grave Mistake,50,,,,,Alem,The House of Twain,Wynn,Medium,Event,640,66666,
The Maiden Tower,51,,,,,Sherk,Olux Swamp,Gavel,Medium,Normal,640,77500,
Corrupted Betrayal,52,,,,,Slykaar,Undergrowth Ruins,Wynn,Long,Dungeon,1024,87725,"1 Undergrowth Ruins Dungeon Key
 Access to the Undergrowth Ruins Dungeon"
Jungle Fever,52,,,,,Worid,Jungle,Wynn,Medium,Normal,4096,86250,1 Undergrowth Ruins Key
Crop Failure,52,,,20,,Anast,Olux,Gavel,Medium,Normal,640,57500,
Master Piece,53,,,,,Caissop,Olux Swamp,Gavel,Medium,Normal,0,85000,1 Caissop's Master Piece
Death Whistle,53,,,,,Voer,Olux Swamp,Gavel,Medium,Normal,,95000,"1 Death Whistle Leaf 
 3 Cyclone Blue Leaves 
 3 Pink Pelulite 
 5 Pink Pelute"
Realm of Light I - The Worm Holes,54,,,,,Malo,Olux Swamp,Gavel,Medium,Normal,768,100000,"Access to Nest of the Grootslangs
 6 Az Runes
 Access to Mastery Tomes"
The Shadow of the Beast,54,20,20,,20,Dereg,Olux Swamp,Gavel,Long,Normal,512,140000,1 Crushed Bigfoot Bone
WynnExcavation Site C,55,,,,,Excavator Placardus,Volcanic Island,Ocean,Long,Normal,0,150000,Red Crystal Shard
Zhight Island,55,,,,,Zhight,Zhight Island,Ocean,Medium,Normal,0,95000,"Access to Zhight Currency Exchange
 Access to Zhight Treasure Tour
 16 Zhight Money"
The Passage,57,,,,,Wirt,Troms,Wynn,Short,Normal,256,140000,Access to the The Passage
An Iron Heart Part II,58,,,,,Detective Hart,Olux Swamp,Gavel,Long,Normal,512 / 768,160000,Greaves of Honor / Shameful Greaves
The Order of the Grook,59,,,,,Seasum,Mage Island,Ocean,Long,Normal,0,242500,"Access to The Nexus
 Draoi Fair /
Dragon's Eye Bracelet /
Renda Langit"
Beneath the Depths,60,,,,,Javier,Pirate Cove,Ocean,Medium,Normal,1,185000,"Abysso Galoshes
 Galleon's Graveyard Key"
Redbeard's Booty,61,,,,,Marston,Galleon's Graveyard,Ocean,Medium,Dungeon,0,180000,"1 Galleon's Graveyard Key
 1 Golden Pirate Fish
 Access to the Galleon's Graveyard Dungeon"
Reclaiming the House,61,,,,,Elphaba,Olux Swamp,Gavel,Long,Normal,1024,250000,
Lost in the Jungle,62,,,,,Gracen,Jungle Village,Wynn,Medium,Normal,0,225000,"1 Gemstone Dust
 3 Jungle Jet Shards
 Access to Gracen's house"
Realm of Light II - Taproot,62,,,,,Lari,Dark Forest,Gavel,Long,Normal,1600,275000,Photon
Out of My Mind,63,,,,,Prentiss,Troms,Wynn,Medium,Normal,1024,300000,Troms Kid Badge
Realm of Light III - A Headless History,64,,,,,Hans,Dark Forest,Gavel,Long,Normal,0,385000,Cloak of Luminosity
Lost Royalty,65,,,,,Yavlis,Troms,Wynn,Medium,Normal,2048,290000,
Lost Soles,66,,,,,Ferndor,Dernel Jungle,Wynn,Long,Normal,1152,352000,Sodeta Boots
Memory Paranoia,67,,,,,Atisun,Caritat Mansion,Gavel,Long,Normal,1536,375000,Ring of Generosity
From the Mountains,67,,,,,Arnod,Pre-Light Forest,Gavel,Long,Normal,0,390000,Fire Wire
Temple of the Legends,68,,,,,Kelight,Temple of the Legends,Wynn,Long,Normal,0,550000,"Access to the Temple of the Legends
 Purified Helmet of the Legends"
Grand Youth,69,,,,,Monte,Dernel Jungle,Wynn,Medium,Normal,1024,425000,
Lazarus Pit,69,,,,,Burtur,Gelibord,Gavel,Long,Normal,1024,500000,Lazarus' Brace
Haven Antiquity,70,,,,,Cinfras,Dead Island,Ocean,Medium,Normal,1048,300000,
WynnExcavation Site D,70,,,,,Royal Advisor Carlos,Troms,Wynn,Long,Normal,16384,600000,1 Royal Token of Gratitude
Shattered Minds,70,,,,,Likeru,Efilim,Gavel,Long,Normal,2560,300000,Psychomend Vest
Realm of Light IV - Finding the Light,71,,,,,Lari,Light Forest,Gavel,Long,Normal,0,675000,"Clearsight Spectacles
 Access to Light Portal"
Lexdale Witch Trials,72,,,,,[[The Mayor]],Lexdale,Gavel,Long,Normal,4096,650000,Access to the Lexdale Merchants
Forbidden Prison,72,,,,,Merchant,Forbidden Prison,Gavel,Long,Normal,0,740000,
Troubled Tribesmen,73,,,,,Ka L'argwit,Dernel Jungle,Wynn,Medium,Normal,2048,500000,Access to the Dernel Tribe Shop in Entamis Village
Murder Mystery,73,,,,,Captain Lorias,Cinfras Suburbs,Gavel,Medium,Normal,3072,350000,1 Detective's Ring
Reincarnation,74,,,,,Batelu,Bob's Tomb,Wynn,Long,Normal,0,750000,1 Corrupted Treasure
Aldorei's Secret Part I,74,,,,,Elf Guard,Aldorei Valley,Gavel,Long,Normal,0 / 8192,512500,"Elven Medallion / Receipt
 Access to Aldorei Town"
Acquiring Credentials,74,,,,,Doan,Letvus Airbase,Gavel,Long,Normal,768,300000,"1 Gavellian Passport
 Access to the Letvus Elevator"
Flight in Distress,75,,,,,Passenger Controllant,Letvus Airbase,Gavel,Long,Normal,0,750000,"Ring of Rubies
 Access to fast travel between Cinfras and Detlas"
The Ultimate Weapon,75,,,,,Dodegar Bandysnoot,Light Forest,Gavel,Medium,Normal,0,450000,1 Dodegar's Ultimate Weapon
The Bigger Picture,76,,,,,Psilo,Mushroom Village,Gavel,Medium,Normal,1920,500000,"Gnome's Ring
 Giant's Ring"
Purple and Blue,77,,,,,Korun,Gylia Plains,Gavel,Long,Normal,2048,500000,Restored Ancient Helmet
The Hunger of Gerts Part 1,77,,,,,Cikal,Gylia Plains,Gavel,Long,Normal,4864,675000,
Aldorei's Secret Part II,78,,,,,Legolus,Aldorei Town,Gavel,Long,Normal,10240 / 0,450000,Kaerynn's Armour / Elves' Disappointment
The Hunger of Gerts Part 2,78,,,,,Gerten Chief Lobo,Gylia Plains,Gavel,Long,Normal,0,730000,Gerten Ritual Mask
Fallen Delivery,79,,,,,Bricot,Gylia Plains,Gavel,Long,Normal,2048,1300000,Access to Cinfras Scroll Merchant
Realm of Light V - The Realm of Light,79,,,,,Lari,The Realm of Light,Gavel,Long,Normal,0,1300000,"Double Vision
 Access to Orphion's Nexus of Light"
The Qira Hive,80,,,,,Yansur,The Qira Hive,Gavel,Long,Special,0,6250000 Max (see Tips),1 Master Voucher
General's Orders,80,,,,,Private Tylas,Canyon of the Lost,Gavel,Long,Normal,0,1300000,Changeling's Chestplate
From the Bottom,80,,,,,Nakoba,Thanos Bazaar,Gavel,Long,Normal,4096,700000,"1 Troll Hair
 64 Platinum Ingots"
???,80,,,,,???,Gavel,Gavel,Medium,Normal,6144,1400000,"Altum Spatium
 Cosmic Armour"
The Thanos Vaults,81,,,,,Dolem,Thanos,Gavel,Medium,Normal,4096,775000,
The Belly of the Beast,82,,,,,King Burtan,Thanos/Ozoth's Spire,Gavel,Medium,Normal,2048,1250000,Dragon Hide Plate
A Marauder's Dues,83,,,,,Norsten,Canyon of the Lost,Gavel,Medium,Normal,8192,1375000,
The Envoy Part I,83,,,,,Olivin,"Selchar, Corkus Province",Ocean,Long,Normal,9152,1750000,"1 Maxie's House Key
 Access to the C.S.S. Wavebreaker"
The Canyon Guides,84,,,,,Gana,The entrance of Bantisu Air Temple,Gavel,Medium,Normal,2048,1450000,
The Canary Calls,85,,,,,Grenot,Thesead mines,Gavel,Medium,Normal,2048,1575000,
The Lost,85,,,,,Dejol,Canyon of the Lost,Gavel,Medium,Normal,2048,1575000,Canyon Chart
Cowfusion,86,,,,,Ranol,Canyon of the Lost,Gavel,Long,Normal,4096,2300000,"Veekhat's Udders
 Veekhat's Horns"
Desperate Metal,86,,,,,Phinas,Corkus Shore,Corkus,Medium,Normal,2048,1580000,Mech Core
Beyond the Grave,87,,,,,Irlok,Canyon of the Lost,Gavel,Medium,Normal,8192,2100000,Raging Wind
Mixed Feelings,87,,,,,Javen,Corkus Docks,Corkus,Long,Normal,2048,1750000,
The Hidden City,88,,,,,Narder,Thesead,Gavel,Long,Normal,4096,2700000,Access to fast travel between Thesead and Eltom
The Envoy Part II,89,,,,,Security Bot N4T17,Corkus City,Corkus,Long,Dungeon,0,3050000,"Electro Mage's Boots
 1 Fallen Factory Key
 Access to the hot air balloon fast travel between Corkus City and Kandon-Beda
 Access to the Fallen Factory Dungeon"
Enter the Dojo,89,,,,,Sensei Miyagi,Sakura Dojo,Gavel,Long,Normal,0,2900000,Master's Gi
Fantastic Voyage,90,,,,,Relend,Jofash Docks,Ocean,Long,Normal,6144,3100000,Pendant of Prosperity
Dwarves and Doguns Part I,91,,,,,Lozeg,Rodoroc,Gavel,Long,Normal,0,3300000,"1 Dogun Badge of Trust
 Access to the Molten Heights elevators"
The Feathers Fly Part I,91,,,,,Ava,Avos Territory,Corkus,Long,Normal,0,2900000,"20 Bipedal Springs
 3 Golden Avia Feathers"
Dwarves and Doguns Part II,92,,,,,Dogun Chieftain,Dogun's Retreat,Gavel,Long,Normal,0,3500000,"1 Letter to Korzim
 Access to the Thanos-Rodoroc trading tunnel"
The Feathers Fly Part II,93,,,,,Ava,Corkus City,Corkus,Long,Normal,12288,3300000,"16 Bipedal Springs
 8 Speed Surge
 4 Corkian Amplifier II
 Access to The Workshop"
Dwarves and Doguns Part III,93,,,,,Korzim,Molten Heights,Gavel,Long,Normal,0,4000000,"Staff of True Ice
 Amulet of Fire Resistance
 Access to the Maex Resource Mine"
Dwarves and Doguns Part IV,94,,,,,Korzim,Molten Heights,Gavel,Long,Normal,20480,6000000,Access to the Ingredient shop in Maex
One Thousand Meters Under,95,,,,,Help Wanted,Ahmsord,Gavel,Long,Normal,8192,5500000,"Access to The Void elevators
 Ominous Wind"
Recipe For Disaster,96,,,,,Chef Hamsey,Ahmsord,Gavel,Medium,Normal,4096,4200000,"Chef Hamsey's Apron (Brie)
 Smoldering Apron (Kale)
 Sky Chef's Apron (Frank)"
The Fortuneteller,97,,,,,Jill,Kandon-Beda,Gavel,Medium,Normal,0,3900000,Wealth or Knowledge
Royal Trials,98,,,,,Skyraider Guard,Sky Islands,Gavel,Long,Normal,4096,7270000,The Queen's Headpiece
The Hero of Gavel,99,,,,,Scavenger Hunt Collector,Ahmsord,Gavel,Long,Normal,20480,5500000,
The Olmic Rune,100,,,,,Abandoned Drill,Olmic Ruined City,Silent Expanse,Medium,Normal,0,5800000,Access to Tol Altar
A Journey Beyond,100,,,,,Elphaba,Detlas,Wynn,Long,Normal,12288,6000000,
A Journey Further,101,,,,,Aledar,Lutho,Silent Expanse,Long,Dungeon,20480,7500000,Access to the Eldritch Outlook Dungeon
Point of No Return,102,,,,,Lutho Citizen,Lutho,Silent Expanse,Long,Normal,8192,7000000,
A Hunter's Calling,103,,,,,??? (A Hunter's Calling),Portal to Dern,Silent Expanse,Long,Normal,0,10008000,"1 Corrupted Soul Token
 Hunted Mode"
